DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 12
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x00ce0000, 0x00cf3000, 0x00ce12a0, 0000000000000000, 0x00ce0000, 0x00018f15, 0x56e72fdb,  B:\mbks\python_2_lab\exe\vuln13.exe
module[ 10]: 0x000551a6,  21
module[ 10]: 0x000551be,  10
module[ 10]: 0x000551cb,  10
module[ 10]: 0x000551d8,  10
module[ 10]: 0x000551e5,  16
module[ 10]: 0x000551f5,   6
module[ 10]: 0x000551fe,   6
module[ 10]: 0x0005520e,   8
module[ 10]: 0x000551ec,   9
module[ 10]: 0x00055216,  17
module[ 10]: 0x0005564a,   5
module[ 10]: 0x000563af,  10
module[ 10]: 0x00056407,   7
module[ 10]: 0x0005640e,   2
module[ 10]: 0x000563b9,  12
module[ 10]: 0x00055cba,  43
module[ 10]: 0x00055ce5,   4
module[ 10]: 0x00055cf9,  11
module[ 10]: 0x00055f47,  13
module[ 10]: 0x0005c890,   8
module[ 10]: 0x0005c898,   3
module[ 10]: 0x00055f54,   2
module[ 10]: 0x000563c5,  14
module[ 10]: 0x000563d3,   7
module[ 10]: 0x00056423,   7
module[ 10]: 0x0005642a,  18
module[ 10]: 0x000562f5,   8
module[ 10]: 0x000562fd,   5
module[ 10]: 0x00056302,   6
module[ 10]: 0x0005550b,  12
module[ 10]: 0x00055517,  13
module[ 10]: 0x00055527,  10
module[ 10]: 0x00055534,  10
module[ 10]: 0x00055541,  10
module[ 10]: 0x0005554e,  16
module[ 10]: 0x0005555e,   6
module[ 10]: 0x00055567,   6
module[ 10]: 0x00055577,   8
module[ 10]: 0x00055555,   9
module[ 10]: 0x0005557f,  18
module[ 10]: 0x00056308,   6
module[ 10]: 0x0005643c,   6
module[ 10]: 0x00056442,   9
module[ 10]: 0x0005644b,   9
module[ 10]: 0x00056454,  13
module[ 10]: 0x0005630e,   8
module[ 10]: 0x00056461,  26
module[ 10]: 0x000564c3,  78
module[ 10]: 0x0005647b,   8
module[ 10]: 0x00056485,   7
module[ 10]: 0x0005648c,   2
module[ 10]: 0x00056483,   2
module[ 10]: 0x0005649c,  12
module[ 10]: 0x000564bb,   8
module[ 10]: 0x000564a8,  19
module[  0]: 0x00002ff0,   6
module[  0]: 0x00002ff6,   8
module[  0]: 0x00008728,   6
module[ 10]: 0x00086880,  13
module[ 10]: 0x0008688d,  13
module[ 10]: 0x00086893,   7
module[ 10]: 0x0008689a,  11
module[ 10]: 0x000868a5,   7
module[ 10]: 0x000868ac,  10
module[ 10]: 0x00089730,  14
module[ 10]: 0x0008973e,   7
module[ 10]: 0x00089745,   7
module[ 10]: 0x00089757,  15
module[ 10]: 0x00089766,   5
module[ 10]: 0x0008975c,  10
module[ 10]: 0x0008976b,   5
module[ 10]: 0x0008977d,   4
module[ 10]: 0x0008979c,   4
module[ 10]: 0x000868b6,   7
module[ 10]: 0x000868cc,   4
module[ 10]: 0x000868d2,   4
module[  0]: 0x00002ffe,  22
module[ 10]: 0x00055ce9,   8
module[ 10]: 0x00055f5c,  44
module[ 10]: 0x00055f88,  44
module[ 10]: 0x0005573c,  53
module[ 10]: 0x00055771,  48
module[ 10]: 0x000557a1,   8
module[ 10]: 0x000557a9,  10
module[ 10]: 0x000557b3,   5
module[ 10]: 0x00055805,  12
module[ 10]: 0x00055811,  18
module[ 10]: 0x00055823,  14
module[ 10]: 0x0005584b,  13
module[ 10]: 0x00055858,  14
module[ 10]: 0x00055880,  13
module[ 10]: 0x0005588d,  13
module[ 10]: 0x000553db,  27
module[ 10]: 0x000894d0,  12
module[ 10]: 0x000894dc,  10
module[ 10]: 0x000894e6,   8
module[ 10]: 0x000894fc,   8
module[ 10]: 0x00089504,   7
module[ 10]: 0x00089517,  24
module[ 10]: 0x0008952f,   6
module[ 10]: 0x0008953f,   6
module[ 10]: 0x000553f6,  12
module[ 10]: 0x00055402,   7
module[ 10]: 0x00055506,   5
module[ 10]: 0x0005589a,  10
module[ 10]: 0x000558a4,  19
module[ 10]: 0x0005ec81,  13
module[ 10]: 0x0005ec8e,  13
module[ 10]: 0x0005eca7,  16
module[ 10]: 0x0005ecb7,   5
module[ 10]: 0x0005ecce,   8
module[ 10]: 0x0005ecd6,   5
module[ 10]: 0x0005ed2f,   6
module[ 10]: 0x0005ed35,   5
module[ 10]: 0x0005ed6d,  13
module[  9]: 0x00129fe0,  25
module[  9]: 0x00129ff9,  10
module[  9]: 0x0012a03f,   5
module[  9]: 0x0012a197,  37
module[  9]: 0x0012a1bc,  16
module[  9]: 0x0012a1cc,  20
module[ 11]: 0x00073210,  12
module[ 11]: 0x0007321c,   3
module[  9]: 0x0012a1e0,   4
module[  9]: 0x0012a1e4,  17
module[  9]: 0x0012a26f,  15
module[  9]: 0x0012a27e,   4
module[  9]: 0x0012a24d,  10
module[  9]: 0x0012a257,  22
module[  9]: 0x0014638c,   8
module[  9]: 0x00146394,   3
module[  9]: 0x0012a26d,   2
module[  9]: 0x0012a044,   2
module[  9]: 0x0012a003,   4
module[  9]: 0x0012a007,  19
module[  9]: 0x0012a046,  13
module[  9]: 0x0012a01a,  10
module[  9]: 0x0012a053,  15
module[  9]: 0x0012a072,  37
module[  9]: 0x0012a097,  11
module[  9]: 0x0012a0a2,  15
module[  9]: 0x0012a0b1,  13
module[  9]: 0x0012a0be,  27
module[  9]: 0x0012a0d9,  14
module[  9]: 0x00147dc0,  12
module[  9]: 0x00147dcc,   3
module[  9]: 0x0012a0e7,  17
module[  9]: 0x0012a0f8,   4
module[  9]: 0x0012a0fc,  15
module[  9]: 0x0012a10b,  16
module[  9]: 0x001189d0,  21
module[  9]: 0x001189fa,   6
module[  9]: 0x00118a00,   5
module[  9]: 0x00118ad5,  17
module[  9]: 0x00118c82,   7
module[  9]: 0x00118c89,  12
module[  9]: 0x00118c95,   5
module[  9]: 0x00118c9a,   8
module[  9]: 0x00118ca2,   6
module[  9]: 0x00118ca8,  21
module[  9]: 0x00118c96,   4
module[  9]: 0x00118cca,   4
module[  9]: 0x00118caf,  14
module[  9]: 0x00118cbd,  13
module[  9]: 0x00118ae6,  13
module[  9]: 0x00118af3,  16
module[  9]: 0x00118bd8,  20
module[  9]: 0x00118bec,  15
module[  9]: 0x00118bfb,   8
module[  9]: 0x00118c03,   9
module[  9]: 0x00118c0c,   9
module[  9]: 0x00118c15,   8
module[  9]: 0x00118c1d,   5
module[  9]: 0x00118c22,  10
module[  9]: 0x00118c4e,   9
module[  9]: 0x00118b03,   4
module[  9]: 0x00118b07,   8
module[  9]: 0x00118a05,   4
module[  9]: 0x001189ed,   4
module[  9]: 0x00118a10,   5
module[  9]: 0x00118a15,  11
module[  9]: 0x00118a20,   7
module[  9]: 0x00118a27,   6
module[  9]: 0x00118a2d,   9
module[  9]: 0x0011ba8d,  60
module[  9]: 0x0013d8cc,  10
module[  9]: 0x0013d8d6,   5
module[  9]: 0x0013d8db,   5
module[  9]: 0x0013d8e0,   5
module[  9]: 0x0013d8e5,   5
module[  9]: 0x0013d8ea,   9
module[  9]: 0x0013d8ce,   8
module[  9]: 0x0013d909,   5
module[  9]: 0x0013d8f6,   5
module[  9]: 0x0013d8fb,   2
module[  9]: 0x0013d8fd,   5
module[  9]: 0x0013d910,   4
module[  9]: 0x0011bac9,   8
module[  9]: 0x0011bad1,  12
module[  9]: 0x0011badd,  15
module[  9]: 0x00118b3e,  34
module[  9]: 0x00118b60,  42
module[  9]: 0x00118b8a,   4
module[  9]: 0x00118b8e,   2
module[  9]: 0x00118b9e,   8
module[  9]: 0x00118b96,   4
module[  9]: 0x00118b66,  36
module[  9]: 0x00118b90,  10
module[  9]: 0x00118c2c,  11
module[  9]: 0x00118bf3,   8
module[  9]: 0x00118c5c,   5
module[  9]: 0x00118c57,   5
module[  9]: 0x00118c37,   6
module[  9]: 0x00118c3d,   8
